Latitude,Longitude,Altitude,acce x,acce y,acce z
0,0,0,-5.3,-1.41,11.81
0,0,0,-0.98,-2,10.94
0,0,0,-1.77,-1.49,10.43
0,0,0,-1.84,-1.37,10.51
0,0,0,-1.84,-1.37,10.51
0,0,0,-1.84,-1.37,10.51
0,0,0,-1.84,-1.37,10.43
0,0,0,-1.84,-1.29,10.43
0,0,0,-2.35,1.02,11.53
0,0,0,-0.67,0.43,10.08
0,0,0,-0.98,0.63,11.1
0,0,0,-0.78,1.8,10.4
0,0,0,-0.78,1.26,10.71
0,0,0,-0.78,1.22,10.75
0,0,0,-0.78,1.26,10.71
0,0,0,-0.82,1.26,10.75
0,0,0,-0.78,1.26,10.71
0,0,0,-0.78,1.26,10.67
0,0,0,-0.75,1.26,10.75
0,0,0,-0.78,1.37,10.75
0,0,0,-0.78,1.29,10.71
0,0,0,-0.78,1.29,10.75
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.26,10.67
0,0,0,-0.75,1.29,10.71
0,0,0,-0.78,1.29,10.71
0,0,0,-0.78,1.29,10.75
0,0,0,-0.75,1.29,10.75
0,0,0,-0.71,1.26,10.67
0,0,0,-0.75,1.26,10.75
0,0,0,-0.43,0.59,11.38
0,0,0,-0.78,1.06,10.94
0,0,0,-0.78,1.26,10.75
0,0,0,-0.71,1.22,10.71
0,0,0,-0.75,1.29,10.63
0,0,0,-0.71,1.29,10.67
0,0,0,-0.75,1.22,10.75
0,0,0,-0.78,1.29,10.75
0,0,0,-0.71,1.26,10.79
0,0,0,-0.75,1.29,10.67
0,0,0,-0.67,1.22,10.67
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.78,1.29,10.63
0,0,0,-0.75,1.26,10.75
0,0,0,-0.78,1.26,10.75
0,0,0,-0.71,1.22,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.78,1.26,10.71
0,0,0,-0.78,1.29,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.29,10.79
0,0,0,-0.75,1.26,10.71
0,0,0,-0.78,1.29,10.75
0,0,0,-0.75,1.26,10.75
0,0,0,-0.75,1.29,10.67
0,0,0,-0.71,1.22,10.71
0,0,0,-0.75,1.26,10.75
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.78,1.26,10.79
0,0,0,-0.75,1.26,10.75
0,0,0,-0.75,1.26,10.75
0,0,0,-0.71,1.29,10.75
0,0,0,-0.78,1.26,10.71
0,0,0,-0.71,1.29,10.71
0,0,0,-0.71,1.26,10.71
0,0,0,-0.71,1.26,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.29,10.67
0,0,0,-0.75,1.26,10.75
0,0,0,-0.78,1.26,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.78,1.29,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.78,1.29,10.75
0,0,0,-0.75,1.29,10.67
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.26,10.67
0,0,0,-0.75,1.29,10.71
0,0,0,-0.71,1.26,10.71
0,0,0,-0.82,1.45,10.63
0,0,0,-0.94,1.37,10.75
0,0,0,-0.78,1.18,10.79
0,0,0,-0.75,1.22,10.83
0,0,0,-0.78,1.29,10.71
0,0,0,-0.75,1.26,10.75
0,0,0,-0.78,1.29,10.75
0,0,0,-0.75,1.26,10.71
0,0,0,-0.78,1.29,10.75
0,0,0,-0.75,1.26,10.75
0,0,0,-0.78,1.29,10.75
0,0,0,-0.78,1.29,10.63
0,0,0,-0.78,1.33,10.67
0,0,0,-0.78,1.29,10.71
0,0,0,-0.78,1.26,10.67
0,0,0,-0.71,1.26,10.63
